,GaussianNB@Other,QDA@Amer-Indian-Eskimo,QDA@Other,DecisionTree@Amer-Indian-Eskimo,DecisionTree@Other,DecisionTree@Asian-Pac-Islander,SGD_Logistic@Other,DecisionTree@White,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,SGD_Logistic@Asian-Pac-Islander,RandomForest@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,RandomForest@White,QDA@Asian-Pac-Islander,QDA@Black,QDA@White,RandomForest@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,LogisticRegression@White,SGD_Logistic@White,SGD_Logistic@Black,LogisticRegression@Black,SVC_Linear@Black,SVC_RBF@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,SVC_RBF@Other,RandomForest@Other,LogisticRegression@Other,SVC_Linear@Other,GaussianNB@Asian-Pac-Islander,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Black,GaussianNB@White
SVC_Linear@Amer-Indian-Eskimo,0.168,0.632,0.322,0.551,0.521,0.437,0.346,0.482,0.64,0.502,0.65,0.805,0.854,0.944,1.0,0.639,0.653,0.701,0.687,0.693,0.658,0.722,0.751,0.742,0.726,0.725,0.794,0.716,0.747,0.697,0.715,0.703,0.623,0.659,0.616,0.669,0.182,0.352,0.261,0.331
RandomForest@Asian-Pac-Islander,0.296,0.35,0.166,0.416,0.55,0.661,0.572,0.615,0.537,0.625,0.696,0.744,0.61,0.691,0.639,1.0,0.839,0.839,0.801,0.822,0.874,0.898,0.865,0.866,0.882,0.876,0.835,0.874,0.85,0.885,0.837,0.826,0.662,0.793,0.786,0.732,0.235,0.377,0.352,0.449
RandomForest@White,0.328,0.357,0.155,0.423,0.529,0.553,0.571,0.722,0.568,0.638,0.667,0.76,0.633,0.721,0.653,0.839,1.0,0.831,0.824,0.857,0.866,0.871,0.846,0.892,0.905,0.898,0.85,0.878,0.868,0.84,0.854,0.887,0.644,0.735,0.756,0.689,0.253,0.423,0.352,0.448
QDA@Asian-Pac-Islander,0.328,0.376,0.157,0.404,0.502,0.568,0.526,0.595,0.532,0.604,0.736,0.728,0.675,0.757,0.701,0.839,0.831,1.0,0.904,0.943,0.833,0.888,0.862,0.886,0.893,0.904,0.885,0.873,0.865,0.89,0.867,0.874,0.678,0.736,0.766,0.685,0.243,0.401,0.317,0.426
QDA@Black,0.292,0.319,0.131,0.406,0.492,0.544,0.549,0.585,0.622,0.627,0.68,0.769,0.678,0.78,0.687,0.801,0.824,0.904,1.0,0.949,0.873,0.876,0.855,0.899,0.9,0.914,0.901,0.911,0.901,0.839,0.905,0.862,0.654,0.743,0.775,0.677,0.245,0.417,0.32,0.437
QDA@White,0.334,0.338,0.139,0.417,0.497,0.554,0.538,0.608,0.578,0.619,0.716,0.769,0.674,0.771,0.693,0.822,0.857,0.943,0.949,1.0,0.858,0.88,0.849,0.92,0.923,0.937,0.893,0.892,0.89,0.861,0.891,0.905,0.649,0.722,0.753,0.652,0.251,0.422,0.334,0.439
RandomForest@Black,0.309,0.337,0.154,0.406,0.535,0.584,0.592,0.635,0.573,0.718,0.668,0.769,0.628,0.725,0.658,0.874,0.866,0.833,0.873,0.858,1.0,0.889,0.867,0.899,0.906,0.901,0.874,0.913,0.899,0.853,0.899,0.864,0.673,0.796,0.808,0.731,0.247,0.426,0.346,0.455
LogisticRegression@Asian-Pac-Islander,0.353,0.427,0.197,0.455,0.556,0.608,0.612,0.637,0.591,0.651,0.815,0.785,0.693,0.793,0.722,0.898,0.871,0.888,0.876,0.88,0.889,1.0,0.979,0.941,0.957,0.957,0.917,0.943,0.93,0.883,0.882,0.869,0.691,0.806,0.841,0.793,0.301,0.443,0.381,0.497
SVC_Linear@Asian-Pac-Islander,0.328,0.464,0.218,0.487,0.569,0.599,0.609,0.621,0.618,0.639,0.811,0.812,0.729,0.813,0.751,0.865,0.846,0.862,0.855,0.849,0.867,0.979,1.0,0.931,0.931,0.924,0.906,0.918,0.915,0.878,0.871,0.86,0.699,0.801,0.826,0.795,0.28,0.431,0.368,0.464
SVC_Linear@White,0.326,0.409,0.185,0.466,0.558,0.593,0.59,0.64,0.643,0.652,0.73,0.827,0.714,0.812,0.742,0.866,0.892,0.886,0.899,0.92,0.899,0.941,0.931,1.0,0.986,0.976,0.939,0.952,0.959,0.897,0.924,0.936,0.671,0.77,0.805,0.735,0.256,0.409,0.364,0.461
