,LogisticRegression@White,SGD_Logistic@White,SVC_Linear@White,LogisticRegression@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Black,SGD_Logistic@Black,SVC_Linear@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,RandomForest@Black,QDA@White,SVC_RBF@Asian-Pac-Islander,QDA@Black,QDA@Asian-Pac-Islander,RandomForest@White,RandomForest@Asian-Pac-Islander,LogisticRegression@Other,RandomForest@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,RandomForest@Other,SVC_Linear@Other,SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Other,DecisionTree@Black,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@White,SGD_Logistic@Other,DecisionTree@Asian-Pac-Islander,DecisionTree@Other,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,GaussianNB@White,GaussianNB@Black,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,GaussianNB@Other,QDA@Other
RandomForest@White,0.905,0.898,0.892,0.878,0.871,0.868,0.85,0.846,0.854,0.887,0.866,0.857,0.84,0.824,0.831,1.0,0.839,0.756,0.76,0.721,0.735,0.689,0.653,0.633,0.667,0.644,0.638,0.568,0.722,0.571,0.553,0.529,0.423,0.357,0.448,0.352,0.423,0.253,0.328,0.155
RandomForest@Asian-Pac-Islander,0.882,0.876,0.866,0.874,0.898,0.85,0.835,0.865,0.837,0.826,0.874,0.822,0.885,0.801,0.839,0.839,1.0,0.786,0.744,0.691,0.793,0.732,0.639,0.61,0.696,0.662,0.625,0.537,0.615,0.572,0.661,0.55,0.416,0.35,0.449,0.352,0.377,0.235,0.296,0.166
LogisticRegression@Other,0.834,0.827,0.805,0.858,0.841,0.825,0.819,0.826,0.794,0.76,0.808,0.753,0.792,0.775,0.766,0.756,0.786,1.0,0.706,0.671,0.862,0.934,0.616,0.581,0.653,0.833,0.597,0.55,0.54,0.739,0.525,0.554,0.391,0.38,0.383,0.271,0.379,0.223,0.315,0.243
RandomForest@Amer-Indian-Eskimo,0.799,0.789,0.827,0.774,0.785,0.792,0.802,0.812,0.796,0.787,0.769,0.769,0.777,0.769,0.728,0.76,0.744,0.706,1.0,0.853,0.709,0.677,0.805,0.785,0.626,0.665,0.563,0.727,0.545,0.519,0.521,0.527,0.638,0.433,0.379,0.307,0.406,0.229,0.255,0.209
LogisticRegression@Amer-Indian-Eskimo,0.796,0.807,0.812,0.789,0.793,0.819,0.86,0.813,0.796,0.775,0.725,0.771,0.76,0.78,0.757,0.721,0.691,0.671,0.853,1.0,0.695,0.674,0.944,0.887,0.698,0.648,0.551,0.718,0.527,0.388,0.477,0.522,0.58,0.543,0.347,0.265,0.362,0.207,0.186,0.237
RandomForest@Other,0.789,0.78,0.77,0.812,0.806,0.804,0.784,0.801,0.763,0.727,0.796,0.722,0.74,0.743,0.736,0.735,0.793,0.862,0.709,0.695,1.0,0.849,0.659,0.63,0.655,0.809,0.604,0.565,0.54,0.631,0.552,0.683,0.434,0.389,0.378,0.268,0.354,0.204,0.267,0.2
SVC_Linear@Other,0.763,0.746,0.735,0.786,0.793,0.771,0.757,0.795,0.715,0.677,0.731,0.652,0.712,0.677,0.685,0.689,0.732,0.934,0.677,0.674,0.849,1.0,0.669,0.62,0.637,0.845,0.554,0.537,0.502,0.71,0.49,0.579,0.448,0.529,0.339,0.234,0.325,0.202,0.312,0.391
SVC_Linear@Amer-Indian-Eskimo,0.726,0.725,0.742,0.716,0.722,0.747,0.794,0.751,0.715,0.703,0.658,0.693,0.697,0.687,0.701,0.653,0.639,0.616,0.805,0.944,0.659,0.669,1.0,0.854,0.65,0.623,0.502,0.64,0.482,0.346,0.437,0.521,0.551,0.632,0.331,0.261,0.352,0.182,0.168,0.322
SVC_RBF@Amer-Indian-Eskimo,0.692,0.696,0.714,0.686,0.693,0.727,0.762,0.729,0.718,0.696,0.628,0.674,0.673,0.678,0.675,0.633,0.61,0.581,0.785,0.887,0.63,0.62,0.854,1.0,0.683,0.596,0.505,0.6,0.469,0.371,0.422,0.537,0.608,0.58,0.24,0.178,0.244,0.13,0.133,0.12
SGD_Logistic@Asian-Pac-Islander,0.741,0.753,0.73,0.687,0.815,0.696,0.708,0.811,0.657,0.68,0.668,0.716,0.648,0.68,0.736,0.667,0.696,0.653,0.626,0.698,0.655,0.637,0.65,0.683,1.0,0.576,0.512,0.366,0.483,0.453,0.494,0.499,0.386,0.478,0.362,0.258,0.296,0.254,0.221,0.21
