,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
DecisionTree@Asian-Pac-Islander,0.24,0.191,0.18,0.202,-0.093,0.289,0.119,0.09,0.415,0.408,0.286,0.425,-0.061,0.515,1.0,0.368,0.371,0.355,0.341,0.371,-0.047,0.374,0.187,0.338,0.299,0.254,0.178,0.227,-0.166,0.342,0.185,0.029,0.384,0.391,0.374,0.38,-0.043,0.332,0.213,0.347
QDA@Asian-Pac-Islander,0.589,0.528,0.294,0.54,-0.005,0.512,0.142,0.212,0.805,0.769,0.599,0.819,-0.066,0.725,0.368,1.0,0.762,0.752,0.795,0.769,-0.035,0.694,0.404,0.833,0.589,0.481,0.244,0.529,0.01,0.552,0.278,0.042,0.799,0.793,0.817,0.785,0.001,0.683,0.364,0.899
LogisticRegression@Black,0.626,0.511,0.441,0.528,0.006,0.578,0.162,0.176,0.895,0.851,0.464,0.826,-0.096,0.775,0.371,0.762,1.0,0.966,0.95,0.894,-0.022,0.833,0.502,0.85,0.751,0.661,0.388,0.521,-0.02,0.672,0.347,0.051,0.942,0.91,0.939,0.84,0.002,0.763,0.426,0.809
SVC_Linear@Black,0.674,0.559,0.453,0.592,-0.015,0.608,0.211,0.213,0.865,0.839,0.476,0.796,-0.107,0.721,0.355,0.752,0.966,1.0,0.938,0.897,-0.052,0.805,0.504,0.841,0.68,0.604,0.365,0.473,-0.015,0.644,0.348,0.056,0.925,0.923,0.917,0.849,-0.014,0.747,0.418,0.813
SGD_Logistic@Black,0.744,0.648,0.464,0.639,0.036,0.634,0.205,0.214,0.863,0.84,0.501,0.834,-0.086,0.722,0.341,0.795,0.95,0.938,1.0,0.894,0.034,0.782,0.488,0.854,0.673,0.573,0.275,0.503,-0.034,0.618,0.321,0.059,0.903,0.897,0.912,0.845,0.015,0.726,0.396,0.825
SVC_RBF@Black,0.649,0.54,0.466,0.575,0.032,0.651,0.21,0.166,0.809,0.791,0.438,0.878,-0.063,0.744,0.371,0.769,0.894,0.897,0.894,1.0,-0.051,0.835,0.506,0.852,0.65,0.543,0.356,0.507,-0.0,0.595,0.356,0.047,0.864,0.882,0.865,0.896,-0.03,0.746,0.408,0.824
GaussianNB@Black,-0.057,-0.062,-0.073,-0.106,0.267,-0.058,-0.092,-0.074,-0.019,-0.018,-0.034,0.009,0.119,-0.022,-0.047,-0.035,-0.022,-0.052,0.034,-0.051,1.0,-0.044,-0.055,-0.061,-0.095,-0.16,-0.079,-0.103,0.184,-0.087,-0.093,0.004,0.025,-0.0,0.012,0.011,0.432,0.025,-0.012,-0.019
RandomForest@Black,0.521,0.42,0.368,0.438,0.009,0.573,0.134,0.117,0.783,0.748,0.453,0.754,-0.083,0.773,0.374,0.694,0.833,0.805,0.782,0.835,-0.044,1.0,0.596,0.78,0.658,0.553,0.354,0.497,-0.031,0.627,0.328,0.032,0.82,0.811,0.809,0.786,-0.01,0.745,0.437,0.752
DecisionTree@Black,0.328,0.266,0.19,0.309,-0.012,0.335,0.104,0.095,0.476,0.457,0.3,0.445,-0.006,0.452,0.187,0.404,0.502,0.504,0.488,0.506,-0.055,0.596,1.0,0.452,0.398,0.345,0.21,0.299,-0.042,0.41,0.219,0.033,0.483,0.483,0.482,0.482,-0.033,0.465,0.292,0.438
QDA@Black,0.672,0.55,0.472,0.599,0.001,0.631,0.183,0.172,0.802,0.783,0.522,0.75,-0.091,0.673,0.338,0.833,0.85,0.841,0.854,0.852,-0.061,0.78,0.452,1.0,0.632,0.516,0.298,0.523,-0.074,0.593,0.294,0.033,0.832,0.841,0.853,0.789,-0.013,0.685,0.358,0.91
LogisticRegression@Other,0.394,0.285,0.316,0.316,0.032,0.449,0.084,0.068,0.71,0.673,0.407,0.636,-0.07,0.627,0.299,0.589,0.751,0.68,0.673,0.65,-0.095,0.658,0.398,0.632,1.0,0.924,0.619,0.75,0.065,0.762,0.342,0.018,0.698,0.641,0.685,0.586,-0.035,0.561,0.294,0.581
SVC_Linear@Other,0.354,0.276,0.279,0.325,-0.03,0.36,0.117,0.122,0.63,0.602,0.333,0.51,-0.107,0.545,0.254,0.481,0.661,0.604,0.573,0.543,-0.16,0.553,0.345,0.516,0.924,1.0,0.634,0.726,0.094,0.767,0.361,0.073,0.583,0.519,0.562,0.451,-0.071,0.463,0.251,0.443
SGD_Logistic@Other,0.02,-0.053,0.183,0.044,0.019,0.229,0.018,-0.034,0.362,0.363,0.157,0.325,-0.014,0.329,0.178,0.244,0.388,0.365,0.275,0.356,-0.079,0.354,0.21,0.298,0.619,0.634,1.0,0.49,0.182,0.452,0.219,0.034,0.364,0.337,0.322,0.306,-0.05,0.32,0.137,0.268
SVC_RBF@Other,0.386,0.294,0.365,0.349,0.002,0.425,0.155,0.084,0.496,0.481,0.311,0.505,-0.085,0.467,0.227,0.529,0.521,0.473,0.503,0.507,-0.103,0.497,0.299,0.523,0.75,0.726,0.49,1.0,-0.008,0.707,0.396,0.044,0.501,0.47,0.489,0.482,-0.064,0.449,0.219,0.5
GaussianNB@Other,-0.158,-0.163,-0.179,-0.16,0.238,-0.088,-0.05,-0.102,0.039,0.003,-0.046,0.022,0.134,-0.029,-0.166,0.01,-0.02,-0.015,-0.034,-0.0,0.184,-0.031,-0.042,-0.074,0.065,0.094,0.182,-0.008,1.0,-0.01,-0.088,-0.041,0.031,0.003,0.031,0.005,0.1,0.016,-0.058,0.013
RandomForest@Other,0.445,0.384,0.345,0.38,0.001,0.449,0.142,0.125,0.649,0.632,0.42,0.539,-0.083,0.629,0.342,0.552,0.672,0.644,0.618,0.595,-0.087,0.627,0.41,0.593,0.762,0.767,0.452,0.707,-0.01,1.0,0.552,0.026,0.62,0.586,0.608,0.53,-0.024,0.523,0.299,0.545
DecisionTree@Other,0.248,0.242,0.171,0.281,-0.068,0.273,0.106,0.097,0.336,0.347,0.26,0.289,-0.086,0.358,0.185,0.278,0.347,0.348,0.321,0.356,-0.093,0.328,0.219,0.294,0.342,0.361,0.219,0.396,-0.088,0.552,1.0,0.052,0.35,0.348,0.316,0.345,-0.075,0.314,0.186,0.288
QDA@Other,0.076,0.115,0.046,0.099,-0.063,0.045,0.054,0.206,0.066,0.076,0.066,0.061,0.003,0.029,0.029,0.042,0.051,0.056,0.059,0.047,0.004,0.032,0.033,0.033,0.018,0.073,0.034,0.044,-0.041,0.026,0.052,1.0,0.057,0.056,0.053,0.053,0.004,0.039,0.029,0.036
LogisticRegression@White,0.63,0.517,0.418,0.528,0.019,0.612,0.177,0.181,0.911,0.865,0.553,0.825,-0.076,0.781,0.384,0.799,0.942,0.925,0.903,0.864,0.025,0.82,0.483,0.832,0.698,0.583,0.364,0.501,0.031,0.62,0.35,0.057,1.0,0.973,0.986,0.887,0.034,0.81,0.451,0.87
SVC_Linear@White,0.667,0.556,0.469,0.572,-0.02,0.679,0.216,0.188,0.883,0.867,0.534,0.833,-0.082,0.754,0.391,0.793,0.91,0.923,0.897,0.882,-0.0,0.811,0.483,0.841,0.641,0.519,0.337,0.47,0.003,0.586,0.348,0.056,0.973,1.0,0.956,0.908,0.008,0.793,0.441,0.872
SGD_Logistic@White,0.659,0.531,0.404,0.551,0.027,0.6,0.169,0.187,0.917,0.858,0.589,0.819,-0.066,0.774,0.374,0.817,0.939,0.917,0.912,0.865,0.012,0.809,0.482,0.853,0.685,0.562,0.322,0.489,0.031,0.608,0.316,0.053,0.986,0.956,1.0,0.877,0.027,0.795,0.439,0.891
SVC_RBF@White,0.607,0.508,0.429,0.529,0.026,0.636,0.225,0.192,0.787,0.769,0.475,0.85,-0.067,0.731,0.38,0.785,0.84,0.849,0.845,0.896,0.011,0.786,0.482,0.789,0.586,0.451,0.306,0.482,0.005,0.53,0.345,0.053,0.887,0.908,0.877,1.0,-0.012,0.812,0.458,0.857
GaussianNB@White,-0.061,-0.068,-0.075,-0.105,0.146,-0.086,-0.093,-0.075,0.01,-0.007,-0.031,0.013,0.12,-0.011,-0.043,0.001,0.002,-0.014,0.015,-0.03,0.432,-0.01,-0.033,-0.013,-0.035,-0.071,-0.05,-0.064,0.1,-0.024,-0.075,0.004,0.034,0.008,0.027,-0.012,1.0,-0.011,-0.068,-0.002
RandomForest@White,0.512,0.411,0.354,0.436,0.022,0.559,0.166,0.144,0.74,0.701,0.437,0.721,-0.036,0.704,0.332,0.683,0.763,0.747,0.726,0.746,0.025,0.745,0.465,0.685,0.561,0.463,0.32,0.449,0.016,0.523,0.314,0.039,0.81,0.793,0.795,0.812,-0.011,1.0,0.587,0.741
DecisionTree@White,0.285,0.233,0.157,0.256,-0.037,0.293,0.094,0.111,0.429,0.409,0.246,0.413,-0.003,0.414,0.213,0.364,0.426,0.418,0.396,0.408,-0.012,0.437,0.292,0.358,0.294,0.251,0.137,0.219,-0.058,0.299,0.186,0.029,0.451,0.441,0.439,0.458,-0.068,0.587,1.0,0.392
QDA@White,0.64,0.544,0.388,0.572,0.01,0.617,0.19,0.187,0.8,0.756,0.576,0.78,-0.071,0.705,0.347,0.899,0.809,0.813,0.825,0.824,-0.019,0.752,0.438,0.91,0.581,0.443,0.268,0.5,0.013,0.545,0.288,0.036,0.87,0.872,0.891,0.857,-0.002,0.741,0.392,1.0
