,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
DecisionTree@Asian-Pac-Islander,0.477,0.437,0.384,0.422,0.245,0.521,0.316,0.255,0.608,0.599,0.494,0.596,0.166,0.661,1.0,0.568,0.58,0.572,0.552,0.565,0.214,0.584,0.4,0.544,0.525,0.49,0.407,0.448,0.149,0.552,0.375,0.117,0.591,0.593,0.584,0.565,0.281,0.553,0.42,0.554
QDA@Asian-Pac-Islander,0.757,0.701,0.532,0.675,0.401,0.728,0.404,0.376,0.888,0.862,0.736,0.89,0.243,0.839,0.568,1.0,0.873,0.865,0.885,0.867,0.317,0.833,0.604,0.904,0.766,0.685,0.526,0.678,0.328,0.736,0.502,0.157,0.893,0.886,0.904,0.874,0.426,0.831,0.595,0.943
LogisticRegression@Black,0.789,0.716,0.626,0.686,0.425,0.774,0.433,0.388,0.943,0.918,0.687,0.894,0.243,0.874,0.58,0.873,1.0,0.983,0.968,0.935,0.349,0.913,0.668,0.911,0.858,0.786,0.615,0.689,0.312,0.812,0.556,0.174,0.97,0.952,0.969,0.903,0.453,0.878,0.634,0.892
SVC_Linear@Black,0.819,0.747,0.636,0.727,0.404,0.792,0.465,0.421,0.93,0.915,0.696,0.879,0.234,0.85,0.572,0.865,0.983,1.0,0.963,0.937,0.335,0.899,0.67,0.901,0.825,0.771,0.601,0.674,0.303,0.804,0.566,0.186,0.961,0.959,0.957,0.909,0.436,0.868,0.626,0.89
SGD_Logistic@Black,0.86,0.794,0.652,0.762,0.397,0.802,0.472,0.44,0.917,0.906,0.708,0.899,0.221,0.835,0.552,0.885,0.968,0.963,1.0,0.936,0.32,0.874,0.656,0.901,0.819,0.757,0.547,0.693,0.282,0.784,0.554,0.197,0.944,0.939,0.948,0.912,0.401,0.85,0.61,0.893
SVC_RBF@Black,0.796,0.715,0.641,0.718,0.382,0.796,0.454,0.377,0.882,0.871,0.657,0.921,0.207,0.837,0.565,0.867,0.935,0.937,0.936,1.0,0.282,0.899,0.665,0.905,0.794,0.715,0.584,0.676,0.287,0.763,0.558,0.139,0.916,0.924,0.919,0.937,0.377,0.854,0.61,0.891
GaussianNB@Black,0.265,0.261,0.179,0.178,0.534,0.307,0.14,0.071,0.381,0.368,0.258,0.303,0.347,0.352,0.214,0.317,0.349,0.335,0.32,0.282,1.0,0.346,0.224,0.32,0.271,0.234,0.22,0.203,0.22,0.268,0.147,0.029,0.378,0.364,0.367,0.296,0.642,0.352,0.26,0.334
RandomForest@Black,0.725,0.658,0.573,0.628,0.426,0.769,0.406,0.337,0.889,0.867,0.668,0.853,0.247,0.874,0.584,0.833,0.913,0.899,0.874,0.899,0.346,1.0,0.718,0.873,0.808,0.731,0.592,0.673,0.309,0.796,0.535,0.154,0.906,0.899,0.901,0.864,0.455,0.866,0.635,0.858
DecisionTree@Black,0.551,0.502,0.41,0.505,0.282,0.563,0.333,0.286,0.651,0.639,0.512,0.621,0.171,0.625,0.4,0.604,0.668,0.67,0.656,0.665,0.224,0.718,1.0,0.627,0.597,0.554,0.433,0.505,0.208,0.604,0.426,0.131,0.656,0.652,0.656,0.645,0.288,0.638,0.482,0.619
QDA@Black,0.78,0.687,0.622,0.678,0.417,0.769,0.406,0.319,0.876,0.855,0.68,0.839,0.245,0.801,0.544,0.904,0.911,0.901,0.901,0.905,0.32,0.873,0.627,1.0,0.775,0.677,0.549,0.654,0.292,0.743,0.492,0.131,0.9,0.899,0.914,0.862,0.437,0.824,0.585,0.949
