item_a,item_b,correlacao
SGD_Logistic@Amer-Indian-Eskimo,LogisticRegression@Other,0.55
QDA@Black,SGD_Logistic@Other,0.549
SGD_Logistic@Black,SGD_Logistic@Other,0.547
RandomForest@Amer-Indian-Eskimo,DecisionTree@White,0.545
DecisionTree@Asian-Pac-Islander,QDA@Black,0.544
LogisticRegression@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.543
RandomForest@Other,DecisionTree@White,0.54
LogisticRegression@Other,DecisionTree@White,0.54
DecisionTree@Other,SGD_Logistic@White,0.539
SGD_Logistic@Other,QDA@White,0.538
SVC_RBF@Amer-Indian-Eskimo,DecisionTree@Other,0.537
SGD_Logistic@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.537
SGD_Logistic@Amer-Indian-Eskimo,SVC_Linear@Other,0.537
RandomForest@Black,DecisionTree@Other,0.535
GaussianNB@Amer-Indian-Eskimo,GaussianNB@Black,0.534
SGD_Logistic@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.532
DecisionTree@Other,RandomForest@White,0.529
QDA@Amer-Indian-Eskimo,SVC_Linear@Other,0.529
LogisticRegression@Amer-Indian-Eskimo,DecisionTree@White,0.527
RandomForest@Amer-Indian-Eskimo,DecisionTree@Other,0.527
QDA@Asian-Pac-Islander,SGD_Logistic@Other,0.526
DecisionTree@Asian-Pac-Islander,LogisticRegression@Other,0.525
LogisticRegression@Amer-Indian-Eskimo,DecisionTree@Other,0.522
SVC_Linear@Amer-Indian-Eskimo,DecisionTree@Other,0.521
RandomForest@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.521
RandomForest@Amer-Indian-Eskimo,SGD_Logistic@Other,0.519
SVC_RBF@Asian-Pac-Islander,DecisionTree@Other,0.515
SGD_Logistic@Asian-Pac-Islander,DecisionTree@Black,0.512
SVC_RBF@Amer-Indian-Eskimo,DecisionTree@Black,0.505
DecisionTree@Black,SVC_RBF@Other,0.505
QDA@Asian-Pac-Islander,DecisionTree@Other,0.502
SVC_Linear@Other,DecisionTree@White,0.502
SVC_Linear@Amer-Indian-Eskimo,DecisionTree@Black,0.502
SGD_Logistic@Asian-Pac-Islander,DecisionTree@Other,0.499
DecisionTree@Other,QDA@White,0.497
LogisticRegression@Asian-Pac-Islander,GaussianNB@White,0.497
SGD_Logistic@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.494
QDA@Black,DecisionTree@Other,0.492
DecisionTree@Asian-Pac-Islander,SVC_Linear@Other,0.49
SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.488
DecisionTree@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.487
LogisticRegression@White,GaussianNB@White,0.483
SGD_Logistic@Asian-Pac-Islander,DecisionTree@White,0.483
DecisionTree@Black,DecisionTree@White,0.482
SVC_Linear@Amer-Indian-Eskimo,DecisionTree@White,0.482
QDA@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.478
LogisticRegression@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.477
SGD_Logistic@White,GaussianNB@White,0.475
GaussianNB@Asian-Pac-Islander,GaussianNB@White,0.472
DecisionTree@Amer-Indian-Eskimo,SGD_Logistic@Black,0.472
SVC_RBF@Amer-Indian-Eskimo,DecisionTree@White,0.469
DecisionTree@Amer-Indian-Eskimo,SVC_Linear@White,0.466
DecisionTree@Amer-Indian-Eskimo,SVC_Linear@Black,0.465
DecisionTree@Amer-Indian-Eskimo,SVC_RBF@White,0.465
QDA@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.464
SVC_Linear@Asian-Pac-Islander,GaussianNB@White,0.464
SVC_Linear@White,GaussianNB@White,0.461
SVC_RBF@Other,DecisionTree@White,0.456
DecisionTree@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.455
RandomForest@Black,GaussianNB@White,0.455
DecisionTree@Amer-Indian-Eskimo,SVC_RBF@Black,0.454
SGD_Logistic@Asian-Pac-Islander,SGD_Logistic@Other,0.453
LogisticRegression@Black,GaussianNB@White,0.453
RandomForest@Asian-Pac-Islander,GaussianNB@White,0.449
DecisionTree@Amer-Indian-Eskimo,LogisticRegression@White,0.448
DecisionTree@Asian-Pac-Islander,SVC_RBF@Other,0.448
DecisionTree@Amer-Indian-Eskimo,SVC_Linear@Other,0.448
GaussianNB@White,RandomForest@White,0.448
GaussianNB@Amer-Indian-Eskimo,SGD_Logistic@White,0.443
GaussianNB@Amer-Indian-Eskimo,LogisticRegression@White,0.443
GaussianNB@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.443
QDA@Amer-Indian-Eskimo,SVC_RBF@Other,0.441
QDA@Amer-Indian-Eskimo,SGD_Logistic@Black,0.44
GaussianNB@White,QDA@White,0.439
DecisionTree@Amer-Indian-Eskimo,SGD_Logistic@White,0.438
QDA@Black,GaussianNB@White,0.437
SVC_Linear@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.437
SVC_Linear@Black,GaussianNB@White,0.436
DecisionTree@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.435
DecisionTree@Amer-Indian-Eskimo,RandomForest@Other,0.434
DecisionTree@Black,SGD_Logistic@Other,0.433
RandomForest@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.433
DecisionTree@Amer-Indian-Eskimo,LogisticRegression@Black,0.433
DecisionTree@Amer-Indian-Eskimo,SVC_RBF@Other,0.432
GaussianNB@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.431
SGD_Logistic@Other,DecisionTree@Other,0.429
QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.427
QDA@Asian-Pac-Islander,GaussianNB@White,0.426
GaussianNB@Amer-Indian-Eskimo,RandomForest@Black,0.426
DecisionTree@Black,DecisionTree@Other,0.426
QDA@Amer-Indian-Eskimo,QDA@Other,0.425
GaussianNB@Amer-Indian-Eskimo,LogisticRegression@Black,0.425
GaussianNB@Amer-Indian-Eskimo,RandomForest@White,0.423
DecisionTree@Amer-Indian-Eskimo,RandomForest@White,0.423
SVC_RBF@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.422
GaussianNB@Amer-Indian-Eskimo,QDA@White,0.422
QDA@Amer-Indian-Eskimo,SVC_Linear@Black,0.421
DecisionTree@Asian-Pac-Islander,DecisionTree@White,0.42
DecisionTree@Amer-Indian-Eskimo,QDA@White,0.417
GaussianNB@Amer-Indian-Eskimo,QDA@Black,0.417
DecisionTree@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.416
SGD_Logistic@Amer-Indian-Eskimo,SGD_Logistic@Other,0.415
DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.41
SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Other,0.41
SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,0.41
GaussianNB@Amer-Indian-Eskimo,SVC_Linear@White,0.409
QDA@Amer-Indian-Eskimo,SVC_Linear@White,0.409
DecisionTree@Asian-Pac-Islander,SGD_Logistic@Other,0.407
GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,0.406
DecisionTree@Amer-Indian-Eskimo,RandomForest@Black,0.406
DecisionTree@Amer-Indian-Eskimo,QDA@Black,0.406
QDA@Amer-Indian-Eskimo,LogisticRegression@White,0.405
GaussianNB@Amer-Indian-Eskimo,SVC_Linear@Black,0.404
DecisionTree@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.404
QDA@Amer-Indian-Eskimo,SVC_RBF@White,0.403
SGD_Logistic@Black,GaussianNB@White,0.401
GaussianNB@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.401
DecisionTree@Asian-Pac-Islander,DecisionTree@Black,0.4
GaussianNB@Amer-Indian-Eskimo,SGD_Logistic@Black,0.397
SGD_Logistic@Other,DecisionTree@White,0.397
QDA@Amer-Indian-Eskimo,SGD_Logistic@White,0.395
GaussianNB@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.394
SVC_RBF@Asian-Pac-Islander,GaussianNB@White,0.392
SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@White,0.391
DecisionTree@Amer-Indian-Eskimo,LogisticRegression@Other,0.391
DecisionTree@Other,DecisionTree@White,0.391
SVC_Linear@Other,QDA@Other,0.391
QDA@Amer-Indian-Eskimo,RandomForest@Other,0.389
LogisticRegression@Amer-Indian-Eskimo,SGD_Logistic@Other,0.388
QDA@Amer-Indian-Eskimo,LogisticRegression@Black,0.388
DecisionTree@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.386
SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.384
LogisticRegression@Other,GaussianNB@White,0.383
GaussianNB@Amer-Indian-Eskimo,SVC_RBF@Black,0.382
QDA@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.382
LogisticRegression@Asian-Pac-Islander,GaussianNB@Black,0.381
QDA@Amer-Indian-Eskimo,LogisticRegression@Other,0.38
GaussianNB@Amer-Indian-Eskimo,LogisticRegression@Other,0.379
RandomForest@Amer-Indian-Eskimo,GaussianNB@White,0.379
RandomForest@Other,GaussianNB@White,0.378
GaussianNB@Black,LogisticRegression@White,0.378
GaussianNB@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.377
GaussianNB@Amer-Indian-Eskimo,SVC_RBF@White,0.377
SVC_RBF@Black,GaussianNB@White,0.377
QDA@Amer-Indian-Eskimo,SVC_RBF@Black,0.377
QDA@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.376
DecisionTree@Asian-Pac-Islander,DecisionTree@Other,0.375
SVC_RBF@White,GaussianNB@White,0.374
SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Other,0.371
SVC_Linear@Asian-Pac-Islander,GaussianNB@Black,0.368
GaussianNB@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.368
GaussianNB@Black,SGD_Logistic@White,0.367
SGD_Logistic@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.366
QDA@Amer-Indian-Eskimo,DecisionTree@Other,0.366
GaussianNB@Black,SVC_Linear@White,0.364
SVC_RBF@Other,QDA@Other,0.364
SGD_Logistic@Asian-Pac-Islander,GaussianNB@White,0.362
LogisticRegression@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,0.362
DecisionTree@Amer-Indian-Eskimo,DecisionTree@Other,0.358
QDA@Amer-Indian-Eskimo,RandomForest@White,0.357
GaussianNB@Amer-Indian-Eskimo,RandomForest@Other,0.354
LogisticRegression@Asian-Pac-Islander,GaussianNB@Other,0.353
GaussianNB@Black,RandomForest@White,0.352
RandomForest@Asian-Pac-Islander,GaussianNB@Black,0.352
SVC_Linear@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,0.352
QDA@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.35
LogisticRegression@Black,GaussianNB@Black,0.349
SGD_Logistic@Other,GaussianNB@Other,0.347
GaussianNB@Asian-Pac-Islander,GaussianNB@Black,0.347
GaussianNB@Other,SGD_Logistic@White,0.347
LogisticRegression@Amer-Indian-Eskimo,GaussianNB@White,0.347
SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Other,0.346
GaussianNB@Other,LogisticRegression@White,0.346
GaussianNB@Black,RandomForest@Black,0.346
SVC_Linear@Other,GaussianNB@White,0.339
QDA@Amer-Indian-Eskimo,QDA@White,0.338
QDA@Amer-Indian-Eskimo,RandomForest@Black,0.337
SVC_Linear@Black,GaussianNB@Black,0.335
GaussianNB@Black,QDA@White,0.334
GaussianNB@Other,QDA@White,0.334
DecisionTree@Amer-Indian-Eskimo,DecisionTree@Black,0.333
SGD_Logistic@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.331
SVC_Linear@Amer-Indian-Eskimo,GaussianNB@White,0.331
QDA@Asian-Pac-Islander,GaussianNB@Other,0.328
GaussianNB@Other,RandomForest@White,0.328
SVC_Linear@Asian-Pac-Islander,GaussianNB@Other,0.328
GaussianNB@Asian-Pac-Islander,GaussianNB@Other,0.327
GaussianNB@Other,SVC_Linear@White,0.326
GaussianNB@Amer-Indian-Eskimo,SVC_Linear@Other,0.325
GaussianNB@Amer-Indian-Eskimo,GaussianNB@Other,0.324
GaussianNB@White,DecisionTree@White,0.323
SVC_Linear@Amer-Indian-Eskimo,QDA@Other,0.322
GaussianNB@Amer-Indian-Eskimo,SGD_Logistic@Other,0.321
DecisionTree@Amer-Indian-Eskimo,DecisionTree@White,0.32
GaussianNB@Black,QDA@Black,0.32
SGD_Logistic@Black,GaussianNB@Black,0.32
QDA@Amer-Indian-Eskimo,QDA@Black,0.319
QDA@Asian-Pac-Islander,GaussianNB@Black,0.317
SGD_Logistic@Other,GaussianNB@White,0.316
DecisionTree@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.316
LogisticRegression@Other,GaussianNB@Other,0.315
LogisticRegression@Black,GaussianNB@Other,0.312
SVC_Linear@Other,GaussianNB@Other,0.312
GaussianNB@Amer-Indian-Eskimo,DecisionTree@White,0.311
RandomForest@Black,GaussianNB@Other,0.309
RandomForest@Amer-Indian-Eskimo,GaussianNB@Black,0.307
SVC_RBF@Asian-Pac-Islander,GaussianNB@Other,0.306
SVC_Linear@Black,GaussianNB@Other,0.303
SVC_RBF@Asian-Pac-Islander,GaussianNB@Black,0.303
LogisticRegression@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,0.301
GaussianNB@Black,SVC_RBF@White,0.296
GaussianNB@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.296
RandomForest@Asian-Pac-Islander,GaussianNB@Other,0.296
GaussianNB@Amer-Indian-Eskimo,SVC_RBF@Other,0.294
QDA@Black,GaussianNB@Other,0.292
DecisionTree@Black,GaussianNB@White,0.288
SVC_RBF@Black,GaussianNB@Other,0.287
SGD_Logistic@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,0.286
QDA@Amer-Indian-Eskimo,DecisionTree@Black,0.286
SVC_RBF@Other,GaussianNB@White,0.284
GaussianNB@Other,SVC_RBF@White,0.284
GaussianNB@Amer-Indian-Eskimo,DecisionTree@Black,0.282
SGD_Logistic@Black,GaussianNB@Other,0.282
SVC_RBF@Black,GaussianNB@Black,0.282
DecisionTree@Asian-Pac-Islander,GaussianNB@White,0.281
SVC_Linear@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,0.28
DecisionTree@Amer-Indian-Eskimo,SGD_Logistic@Other,0.279
QDA@Amer-Indian-Eskimo,DecisionTree@White,0.272
GaussianNB@Black,LogisticRegression@Other,0.271
GaussianNB@Black,RandomForest@Other,0.268
GaussianNB@Asian-Pac-Islander,LogisticRegression@White,0.267
GaussianNB@Other,RandomForest@Other,0.267
GaussianNB@Asian-Pac-Islander,SGD_Logistic@White,0.267
LogisticRegression@Amer-Indian-Eskimo,GaussianNB@Black,0.265
SVC_Linear@Amer-Indian-Eskimo,GaussianNB@Black,0.261
GaussianNB@Black,DecisionTree@White,0.26
SGD_Logistic@Asian-Pac-Islander,GaussianNB@Black,0.258
GaussianNB@Asian-Pac-Islander,SVC_Linear@White,0.256
RandomForest@Amer-Indian-Eskimo,GaussianNB@Other,0.255
QDA@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.255
SGD_Logistic@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,0.254
GaussianNB@Asian-Pac-Islander,RandomForest@White,0.253
GaussianNB@Other,GaussianNB@White,0.252
GaussianNB@Asian-Pac-Islander,QDA@White,0.251
GaussianNB@Asian-Pac-Islander,RandomForest@Black,0.247
SGD_Logistic@Amer-Indian-Eskimo,GaussianNB@White,0.247
GaussianNB@Asian-Pac-Islander,QDA@Black,0.245
GaussianNB@Amer-Indian-Eskimo,DecisionTree@Asian-Pac-Islander,0.245
SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,0.244
GaussianNB@Asian-Pac-Islander,LogisticRegression@Black,0.243
LogisticRegression@Other,QDA@Other,0.243
GaussianNB@Asian-Pac-Islander,QDA@Asian-Pac-Islander,0.243
SVC_RBF@Amer-Indian-Eskimo,GaussianNB@White,0.24
LogisticRegression@Amer-Indian-Eskimo,QDA@Other,0.237
GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,0.235
GaussianNB@Asian-Pac-Islander,SVC_Linear@Black,0.234
GaussianNB@Black,SVC_Linear@Other,0.234
QDA@Amer-Indian-Eskimo,SGD_Logistic@Other,0.232
GaussianNB@Other,DecisionTree@White,0.23
RandomForest@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.229
GaussianNB@Black,DecisionTree@Black,0.224
GaussianNB@Asian-Pac-Islander,LogisticRegression@Other,0.223
SVC_RBF@Other,GaussianNB@Other,0.222
GaussianNB@Asian-Pac-Islander,SGD_Logistic@Black,0.221
SGD_Logistic@Asian-Pac-Islander,GaussianNB@Other,0.221
GaussianNB@Black,SGD_Logistic@Other,0.22
GaussianNB@Black,GaussianNB@Other,0.22
SVC_Linear@Asian-Pac-Islander,QDA@Other,0.218
SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,0.215
DecisionTree@Asian-Pac-Islander,GaussianNB@Black,0.214
DecisionTree@Other,GaussianNB@White,0.21
SGD_Logistic@Asian-Pac-Islander,QDA@Other,0.21
RandomForest@Amer-Indian-Eskimo,QDA@Other,0.209
DecisionTree@Black,GaussianNB@Other,0.208
LogisticRegression@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.207
GaussianNB@Asian-Pac-Islander,SVC_RBF@Black,0.207
GaussianNB@Asian-Pac-Islander,SVC_RBF@White,0.205
GaussianNB@Asian-Pac-Islander,RandomForest@Other,0.204
GaussianNB@Asian-Pac-Islander,SGD_Logistic@Other,0.203
GaussianNB@Black,SVC_RBF@Other,0.203
GaussianNB@Asian-Pac-Islander,SVC_Linear@Other,0.202
GaussianNB@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.202
RandomForest@Other,QDA@Other,0.2
GaussianNB@Amer-Indian-Eskimo,DecisionTree@Other,0.197
LogisticRegression@Asian-Pac-Islander,QDA@Other,0.197
SGD_Logistic@Black,QDA@Other,0.197
GaussianNB@Asian-Pac-Islander,DecisionTree@White,0.191
SVC_Linear@Black,QDA@Other,0.186
LogisticRegression@Amer-Indian-Eskimo,GaussianNB@Other,0.186
QDA@Other,LogisticRegression@White,0.185
QDA@Other,SVC_Linear@White,0.185
DecisionTree@Amer-Indian-Eskimo,QDA@Other,0.182
SVC_Linear@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.182
DecisionTree@Other,QDA@Other,0.182
SGD_Logistic@Amer-Indian-Eskimo,GaussianNB@Black,0.179
SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Black,0.178
QDA@Other,SGD_Logistic@White,0.177
LogisticRegression@Black,QDA@Other,0.174
DecisionTree@Amer-Indian-Eskimo,GaussianNB@White,0.172
SGD_Logistic@Amer-Indian-Eskimo,QDA@Other,0.172
GaussianNB@Asian-Pac-Islander,DecisionTree@Black,0.171
SVC_Linear@Amer-Indian-Eskimo,GaussianNB@Other,0.168
GaussianNB@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.166
RandomForest@Asian-Pac-Islander,QDA@Other,0.166
SVC_RBF@Asian-Pac-Islander,QDA@Other,0.166
DecisionTree@Amer-Indian-Eskimo,GaussianNB@Other,0.163
GaussianNB@Asian-Pac-Islander,SVC_RBF@Other,0.158
QDA@Asian-Pac-Islander,QDA@Other,0.157
QDA@Other,SVC_RBF@White,0.156
QDA@Other,RandomForest@White,0.155
RandomForest@Black,QDA@Other,0.154
DecisionTree@Asian-Pac-Islander,GaussianNB@Other,0.149
GaussianNB@Black,DecisionTree@Other,0.147
SGD_Logistic@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.144
DecisionTree@Amer-Indian-Eskimo,GaussianNB@Black,0.14
QDA@Other,QDA@White,0.139
SVC_RBF@Black,QDA@Other,0.139
SGD_Logistic@Other,QDA@Other,0.136
SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Other,0.133
GaussianNB@Other,DecisionTree@Other,0.132
QDA@Black,QDA@Other,0.131
DecisionTree@Black,QDA@Other,0.131
SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.13
DecisionTree@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.121
QDA@Other,DecisionTree@White,0.12
SVC_RBF@Amer-Indian-Eskimo,QDA@Other,0.12
DecisionTree@Asian-Pac-Islander,QDA@Other,0.117
GaussianNB@Asian-Pac-Islander,DecisionTree@Other,0.115
SGD_Logistic@Amer-Indian-Eskimo,GaussianNB@Other,0.113
QDA@Amer-Indian-Eskimo,GaussianNB@White,0.104
GaussianNB@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.101
QDA@Amer-Indian-Eskimo,GaussianNB@Black,0.071
QDA@Amer-Indian-Eskimo,GaussianNB@Other,0.062
QDA@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,0.058
GaussianNB@Amer-Indian-Eskimo,QDA@Other,0.052
QDA@Other,GaussianNB@White,0.048
GaussianNB@Other,QDA@Other,0.046
GaussianNB@Asian-Pac-Islander,QDA@Other,0.03
GaussianNB@Black,QDA@Other,0.029
