item_a,item_b,correlacao
RandomForest@Black,RandomForest@White,0.866
SVC_Linear@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,0.865
QDA@Asian-Pac-Islander,SVC_Linear@Black,0.865
RandomForest@Black,SVC_RBF@White,0.864
QDA@Black,SVC_RBF@White,0.862
LogisticRegression@Other,RandomForest@Other,0.862
SVC_Linear@Asian-Pac-Islander,QDA@Asian-Pac-Islander,0.862
SVC_RBF@Asian-Pac-Islander,QDA@White,0.861
LogisticRegression@Amer-Indian-Eskimo,SGD_Logistic@Black,0.86
SVC_Linear@Asian-Pac-Islander,SVC_RBF@White,0.86
LogisticRegression@Black,LogisticRegression@Other,0.858
RandomForest@Black,QDA@White,0.858
RandomForest@White,QDA@White,0.857
SVC_Linear@Asian-Pac-Islander,QDA@Black,0.855
SVC_RBF@Black,RandomForest@White,0.854
SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,0.854
LogisticRegression@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,0.853
SVC_RBF@Asian-Pac-Islander,RandomForest@Black,0.853
SGD_Logistic@Black,RandomForest@White,0.85
RandomForest@Asian-Pac-Islander,SVC_Linear@Black,0.85
SVC_Linear@Asian-Pac-Islander,QDA@White,0.849
SVC_Linear@Other,RandomForest@Other,0.849
SVC_Linear@Asian-Pac-Islander,RandomForest@White,0.846
SVC_Linear@Other,SVC_RBF@Other,0.845
LogisticRegression@Asian-Pac-Islander,LogisticRegression@Other,0.841
SVC_RBF@Asian-Pac-Islander,RandomForest@White,0.84
SVC_RBF@Asian-Pac-Islander,QDA@Black,0.839
RandomForest@Asian-Pac-Islander,RandomForest@White,0.839
RandomForest@Asian-Pac-Islander,QDA@Asian-Pac-Islander,0.839
RandomForest@Asian-Pac-Islander,SVC_RBF@Black,0.837
RandomForest@Asian-Pac-Islander,SGD_Logistic@Black,0.835
LogisticRegression@Other,LogisticRegression@White,0.834
LogisticRegression@Other,SVC_RBF@Other,0.833
QDA@Asian-Pac-Islander,RandomForest@Black,0.833
QDA@Asian-Pac-Islander,RandomForest@White,0.831
RandomForest@Amer-Indian-Eskimo,SVC_Linear@White,0.827
LogisticRegression@Other,SGD_Logistic@White,0.827
SVC_Linear@Asian-Pac-Islander,LogisticRegression@Other,0.826
RandomForest@Asian-Pac-Islander,SVC_RBF@White,0.826
SVC_Linear@Black,LogisticRegression@Other,0.825
QDA@Black,RandomForest@White,0.824
RandomForest@Asian-Pac-Islander,QDA@White,0.822
SGD_Logistic@Black,LogisticRegression@Other,0.819
LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Black,0.819
LogisticRegression@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,0.815
LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.813
RandomForest@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.812
LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@White,0.812
LogisticRegression@Black,RandomForest@Other,0.812
SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,0.811
SVC_RBF@Other,RandomForest@Other,0.809
RandomForest@Black,LogisticRegression@Other,0.808
LogisticRegression@Amer-Indian-Eskimo,SGD_Logistic@White,0.807
LogisticRegression@Asian-Pac-Islander,RandomForest@Other,0.806
SVC_Linear@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,0.805
LogisticRegression@Other,SVC_Linear@White,0.805
SVC_Linear@Black,RandomForest@Other,0.804
RandomForest@Amer-Indian-Eskimo,SGD_Logistic@Black,0.802
RandomForest@Asian-Pac-Islander,QDA@Black,0.801
SVC_Linear@Asian-Pac-Islander,RandomForest@Other,0.801
RandomForest@Amer-Indian-Eskimo,LogisticRegression@White,0.799
